Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
IDEA 612,Tears For Fears,The Way You Are,Mercury,"12"", Single",,1983,148834,Uncategorized,2017-02-28 19:39:19,,,
MERH 58,Tears For Fears,Songs From The Big Chair,Mercury,"LP, Album",,1985,124187,Uncategorized,2019-01-21 22:33:42,,,
SR-61325,David Bowie,The Man Who Sold The World,Mercury,"LP, Album, Sta",,1970,710468,David Bowie,2017-01-27 11:53:22,,,
1798676,U2,Get On Your Boots,"Mercury Music Group, Island Records","CD, Single",,2009,7294761,Uncategorized,2017-02-07 13:43:19,,,
2716223,U2,I'll Go Crazy If I Don't Go Crazy Tonight,"Mercury Music Group, Universal, Island Records","7"", Single",,2009,1921635,Uncategorized,2019-01-15 08:45:31,,,
1777275,David Holmes,The Holy Pictures,"Mercury, Canderblinks, Universal UMC","CD, Album",,2008,1457433,Uncategorized,2017-02-07 10:20:39,,,
2701248,U2,Magnificent,"Mercury, Island Records","7"", Single",,2009,1759801,Uncategorized,2019-01-15 08:44:24,,,
"IDEA 7, 818 838-7",Tears For Fears,Mothers Talk,"Mercury, Mercury","7"", Single, Sil",,1984,1225360,Uncategorized,2020-01-03 22:17:06,,,
"mers 17, MERS 17",Tears For Fears,The Hurting,"Mercury, Mercury","LP, Album",,1983,2636195,Uncategorized,2019-01-21 22:32:19,,,
"TEAR 1, tear 1, 6059 323",The Teardrop Explodes,When I Dream,"Mercury, Mercury, Mercury","7"", Single, Sil",,1980,393464,Uncategorized,2020-01-03 22:14:20,,,
FEED 1,Band Aid,Do They Know It's Christmas?,"Mercury, Phonogram","7"", Sil",,1984,9495856,Uncategorized,2019-12-30 21:22:48,,,
PROT  14-12,Eve Gallagher,Love Come Down (The 1991 Mixes),More Protein,"12"", Maxi",,1991,396365,Uncategorized,2019-09-22 22:09:24,,,
PROT2-12,Jesus Loves You,After The Love,More Protein,"12""",,1989,88488,Uncategorized,2019-09-17 20:51:13,,,
PROTX2-12,Jesus Loves You,After The Love (Remix),More Protein,"12""",,1989,131288,Uncategorized,2019-09-17 20:51:38,,,
"PROT 1312, 614 667, PROT 13-12",Jesus Loves You,After The Love,"More Protein, More Protein, More Protein","12""",,1991,351751,Uncategorized,2019-09-17 20:52:41,,,
"PROT 8-12, PROT 812, 614 006",Jesus Loves You,Bow Down Mister,"More Protein, More Protein, More Protein","12""",,1991,255945,Uncategorized,2019-09-17 20:53:24,,,
"PROTX 1012, 614 285, PROTX 10-12",Jesus Loves You,Generations Of Love (Remix),"More Protein, More Protein, More Protein","12"", Single, MP, Gat",,1991,424490,Uncategorized,2019-09-17 20:54:05,,,
MOTC 24,Frances Nero,Footsteps Following Me,Motorcity Records,"12"", Single",,1990,1204904,Uncategorized,2019-09-23 16:19:39,,,
TMG 1068,Stevie Wonder,Sir Duke,Motown,"7"", Single",,1977,1831432,Uncategorized,2020-01-03 23:56:12,,,
TMG 1204,Stevie Wonder,Master Blaster (Jammin'),Motown,"7"", Single, Kno",,1980,416991,Uncategorized,2020-01-03 23:59:09,,,
ZB 44757DJ,Yours Truly,Come And Get It,Motown,"7"", Single, Promo",,1991,3685520,Uncategorized,2020-01-04 00:09:09,,,
ZB 45079,Boyz II Men,Motownphilly,Motown,"7"", Single",,1991,246736,Uncategorized,2019-12-30 22:20:42,,,
MC 2131,The Specials,The Specials ,"Music Club, Picture Music International","VHS, Comp, PAL",,1993,4344052,Uncategorized,2017-02-27 22:27:11,,,
12 BONG 11,Depeche Mode,A Question Of Lust,Mute,"12"", Single, MPO",,1986,9931115,Uncategorized,2019-09-09 22:21:48,,,
12 BONG 12,Depeche Mode,A Question Of Time (Extended Remix),Mute,"12"", Single",,1986,9935841,Uncategorized,2019-09-09 22:11:55,,,
12 MUTE 123,Miranda Sex Garden,Gush Forth My Tears,Mute,"12"", Single",,1991,667830,Uncategorized,2019-09-23 16:33:44,,,
7 BONG 1,Depeche Mode,Leave In Silence,Mute,"7"", Single",,1982,27717,Uncategorized,2019-12-30 23:25:52,,,
7 BONG 10,Depeche Mode,Stripped,Mute,"7"", Single",,1986,127190,Uncategorized,2019-12-30 23:29:17,,,
7 BONG 11,Depeche Mode,A Question Of Lust,Mute,"7"", Single",,1986,53188,Uncategorized,2019-12-30 23:31:18,,,
7 BONG 12,Depeche Mode,A Question Of Time (Remix),Mute,"7"", Single",,1986,2312225,Uncategorized,2019-12-30 23:32:52,,,
7 BONG 7 E,Depeche Mode,Blasphemous Rumours / Somebody,Mute,"7"", EP, Single",,1984,50267,Uncategorized,2019-12-30 23:27:36,,,
7 MUTE 020,Yazoo,Only You,Mute,"7"", Single, Sil",,1982,1243707,Uncategorized,2020-01-04 00:00:59,,,
7 YAZ 001,Yazoo,Don't Go,Mute,"7"", Single",,1982,6694775,Uncategorized,2020-01-04 00:15:52,,,
7 YAZ 002,Yazoo,The Other Side Of Love,Mute,"7"", Single, Lar",,1982,9002206,Uncategorized,2020-01-04 00:02:46,,,
BONG 13,Depeche Mode,Strangelove,Mute,"7"", Single",,1987,53172,Uncategorized,2019-12-30 23:34:16,,,
BONG 14,Depeche Mode,Never Let Me Down Again,Mute,"7"", Single",,1987,53157,Uncategorized,2019-12-30 23:34:54,,,
cd mute 56,Erasure,It Doesn't Have To Be,Mute,"CD, Single, Gop",,1987,449249,Uncategorized,2019-12-31 14:19:32,,,
ERAS 1,Erasure,Push Me Shove Me / Senseless,Mute,"12"", Promo",,1990,471923,Uncategorized,2019-09-09 22:30:33,,,
ERAS 2,Erasure,Ship Of Fools / Who Needs Love (Like That),Mute,"12"", Promo",,1990,339962,Uncategorized,2019-09-09 22:32:19,,,
L12 BONG 12,Depeche Mode,A Question Of Time (New Town Mix),Mute,"12"", Single, Ltd, Sti",,1986,56794,Uncategorized,2019-09-09 22:16:18,,,
L12 BONG 6,Depeche Mode,Master And Servant (An ON-USound Science Fiction Dance Hall Classic),Mute,"12"", Single, Ltd, Num, Emb",,1984,50257,Uncategorized,2019-09-09 22:19:01,,,
mute 51,Erasure,Sometimes,Mute,"7"", Single",,1986,100914,Uncategorized,2019-12-31 14:18:05,,,
MUTEL 1,Depeche Mode,The Singles 81 → 85,Mute,"LP, Comp, Gat",,1985,202705,Uncategorized,2019-01-17 21:55:36,,,
P12 BONG 20,Depeche Mode,World In My Eyes / Happiest Girl,Mute,"12"", Single, Promo",,1990,339070,Uncategorized,2019-09-09 22:19:48,,,
s 12 mute 120,Fortran 5,Love Baby / Midnight Trip,Mute,"12"", Promo",,1990,561390,Uncategorized,2019-09-22 22:23:59,,,
STUMM 5,Depeche Mode,Speak & Spell,Mute,"LP, Album",,1981,56293,Uncategorized,2017-02-01 23:23:06,,,
STUMM 7,Yazoo,Upstairs At Eric's,Mute,"LP, Album, Mus",,1982,97230,Uncategorized,2019-01-21 22:55:32,,,
STUMM 9,Depeche Mode,A Broken Frame,Mute,"LP, Album",,1982,60662,Uncategorized,2019-01-17 21:47:01,,,
VVC 248,Depeche Mode,Strange (A Black And White Mode By Anton Corbijn),"Mute Film, Virgin Music Video","VHS, PAL",,1988,370140,Uncategorized,2017-02-27 22:43:23,,,
"DMBX2, DMBX 2",Depeche Mode,Singles 7-12,"Mute, Mute","Box, Comp + CD, Single + CD, Single + CD, Single +",,1991,1651258,Uncategorized,2017-02-06 23:41:00,,,
12NTV 43,Treebound Story,Take It,Native Records,"12"", Single",,1989,1815678,Uncategorized,2019-09-23 19:01:26,,,
12NTV 47,The Snapdragons,The Eternal In A Moment,Native Records,"12"", EP",,1990,1290141,Uncategorized,2019-09-23 18:25:46,,,
7NTV 47,The Snapdragons,Eternal In A Moment,Native Records,"7"", Pic",,1989,1290130,Uncategorized,2020-01-03 20:37:43,,,
NTV 34,Screaming Trees (2),Tangiers,Native Records,"7"", Single",,1988,1668341,Uncategorized,2020-01-03 00:11:36,,,
NTVLP 39,Success,World Crash,Native Records,"LP, Album",,1989,1080121,Uncategorized,2019-09-23 18:41:06,,,
NTVLP 42,The Snapdragons,Dawn Raids On Morality,Native Records,"LP, Album",,1989,1288086,Uncategorized,2019-09-23 18:24:30,,,
N2S004,Anthony Nicholson,All Over,Need 2 Soul,"12""",,2007,998868,Uncategorized,2019-09-23 16:13:26,,,
NBH 1,Melanie (2),Together Alone,Neighborhood Records (2),"7"", Single",,1972,5461576,Uncategorized,2019-12-31 21:19:02,,,
NWKT 2,Marc Kinchen,Somebody New / The Rains,Network Records,"12""",,1990,4890,Uncategorized,2019-09-23 16:31:45,,,
NWKT 6,Nexus 21 Featuring Donna Black,Still (Life Keeps Moving) (The Detroit Remixes),Network Records,"12""",,1990,4892,Uncategorized,2019-09-23 16:16:13,,,
NWKT 7,Kate B,Free (The Remixes),Network Records,"12"", Ltd",,1990,112406,Uncategorized,2019-09-17 20:59:31,,,
NWKT 9,Critical Rhythm,It Could Not Happen,Network Records,"12""",,1990,18058,Uncategorized,2019-09-16 21:35:39,,,
NWKT20,True Faith Featuring Bridget Grace With Final Cut,Take Me Away,Network Records,"12""",,1991,24303,Uncategorized,2017-02-28 19:32:13,,,
NWKT31,The Reese Project,Direct Me Edition 1,Network Records,"12"", M/Print",,1991,49960,Uncategorized,2017-02-15 22:51:43,,,
NWKTR 13,Rhythmatic,Frequency / Demons (Remixes),Network Records,"12""",,1990,47753,Uncategorized,2017-02-10 18:58:55,,,
NWKTR 8,Rhythmatic,Take Me Back (Remix),Network Records,"12""",,1990,38723,Uncategorized,2017-02-12 14:36:44,,,
NWKTR 9,Critical Rhythm,It Could Not Happen (Remix),Network Records,"12""",,1990,76720,Uncategorized,2019-09-16 21:36:14,,,
TEN NWK 13,Rhythmatic,Frequency / Demons,Network Records,"10"", M/Print",,1990,58410,Uncategorized,2019-09-23 17:32:25,,,
NT 103,ABC,The Look Of Love (Parts One And Two),Neutron Records,"7"", Single, Red",,1982,33608,Uncategorized,2018-03-07 11:05:10,,,
NT 104,ABC,All Of My Heart / Overture (From The Lexicon Of Love),Neutron Records,"7"", Single, Pap",,1982,110802,Uncategorized,2019-09-10 16:34:07,,,
ORG-1,Buzzcocks With Howard Devoto,Spiral Scratch,New Hormones,"7"", EP, RE",,1979,11695846,Uncategorized,2019-12-30 22:26:31,,,
NNR 512,Massonix,Just A Little Bit More,Noise Records (2),"12""",,1990,427809,Uncategorized,2019-09-17 21:36:10,,,
7559-79813-9,Brad Mehldau,Live In Marciac,Nonesuch,"2xCD, Album + DVD-V",,2011,4915601,Uncategorized,2018-06-25 11:57:02,,,
BHCD1004,Brian Houston,In The Words Of Dr Luke,Not On Label,"CD, Album",,1998,7580254,Uncategorized,2017-02-07 11:23:40,,,
bhcd2009,Brian Houston,Thirteen Days In August,Not On Label,"CD, Album, dig",,2009,2691698,Uncategorized,2017-02-07 11:26:09,,,
BHCD2010,Brian Houston,Jesus And Justice,Not On Label,"CD, Album",,2005,8329490,Uncategorized,2017-02-07 11:25:02,,,
HAG16,Duke Special,Little Revolutions,Not On Label,"CD, Comp",,2008,8251965,Uncategorized,2017-02-07 07:59:48,,,
LBASE 2,Lovebase,Something Unreal,Not On Label,"12""",,1991,439723,Uncategorized,2019-09-17 21:28:06,,,
LM-3T,Lucky Monkeys,All Aboard,Not On Label,"12""",,1990,1806826,Uncategorized,2019-09-17 21:30:26,,,
MOODY 41,Four To The Floor,Mood Food,Not On Label,"12""",,1990,979398,Uncategorized,2019-09-22 22:20:13,,,
none,Duke Special,Everybody Wants A Little Something - A Duke Special Sampler,Not On Label,"File, MP3, Comp",,2010,8252318,Uncategorized,2017-02-07 09:41:16,,,
none,Gungor,O Christmas,Not On Label,"File, MP3, EP",,2015,7715389,Uncategorized,2017-02-07 11:29:51,,,
UPTOWN 1,Rockers Uptown,Magnificent,Not On Label,"12"", Promo",,0,3452157,Uncategorized,2017-02-10 18:53:06,,,
BTCD001,Bluetree,Greater Things,Not On Label (Bluetree Self-released),"CD, Album, Dig",,2007,5254408,Uncategorized,2017-02-07 11:31:49,,,
BSHT 001,Olimax & DJ Shapps,DJ,Not On Label (Olimax & DJ Shapps),"12"", W/Lbl",,1990,361633,Uncategorized,2017-02-01 22:57:55,,,
OMEN 1,Various,The Born EP,Omen Recordings,"2x12"", EP, Ltd, Promo, Num",,1990,633604,Uncategorized,2017-02-28 19:09:06,,,
041TP 12L,Big Hard Excellent Fish,Imperfect List (Rimming Elvis The Andy Weatherall Way),One Little Indian,"12""",,1990,104073,Uncategorized,2019-09-15 21:52:36,,,
36TP 12 LL,The Shamen,Pro>gen Remix,One Little Indian,"12"", W/Lbl",,1990,1394563,Uncategorized,2017-01-31 18:03:19,,,
46TP12L,The Shamen,Make It Mine (Remix),One Little Indian,"12"", Single",,1990,73779,Uncategorized,2017-01-31 18:07:35,,,
47 TP 12,Soul Family Sensation,I Don't Even Know If I Should Call You Baby,One Little Indian,"12""",,1991,195500,Uncategorized,2017-02-02 19:18:46,,,
47 TP 12L,Soul Family Sensation,I Don't Even Know If I Should Call You Baby (Remix),One Little Indian,"12""",,1991,340787,Uncategorized,2017-02-02 19:19:39,,,
67TP12,Soul Family Sensation,Perfect Life / 747 Tonight,One Little Indian,"12"", Single",,1991,1727057,Uncategorized,2017-02-02 19:21:03,,,
"36 TP 7, 36TP7",The Shamen,Pro>gen,"One Little Indian, One Little Indian","7"", Single",,1990,230891,Uncategorized,2020-01-03 00:39:13,,,
OPT 12007,Firecracker,Firecracker,Optimism Records,"12""",,1990,187608,Uncategorized,2019-09-16 22:12:01,,,
OPT 12014,Izit,Make Way For The Originals / Make Way For The Solos,Optimism Records,"12""",,1991,422088,Uncategorized,2019-09-17 20:42:29,,,
12 ORBIT P 1,Tom Tom,Replay / (See Me) Touch Me,Orbital Records,"12"", Promo",,1991,925849,Uncategorized,2017-02-28 19:42:32,,,
FOOT 8,Djum Djum,Difference,Outer Rhythm,"12"", Pic",,1990,4804,Uncategorized,2019-09-16 21:47:51,,,
FOOT 9,LeftField,More Than I Know And Not Forgotten (Hard Hands Mix),Outer Rhythm,"12""",,1991,2225,Uncategorized,2019-09-17 21:08:04,,,
12 OUTER 1,Billy Preston,Heroes,Outer Space Records,"12""",,1991,424236,Uncategorized,2017-02-15 23:06:49,,,
OUT 1508,Gregor Dietz And Raymond Beyer,Outrage 8,Outrage Recordings,"12""",,1992,73919,Uncategorized,2019-09-23 17:02:20,,,
12RDJ 6285,Pet Shop Boys,Where The Streets Have No Name (I Can't Take My Eyes Off You) / How Can You Expect To Be Taken Seriously?,Parlophone,"12"", Promo",,1991,378117,Uncategorized,2017-02-12 14:41:17,,,
12RDJ 6301,Pet Shop Boys,DJ Culture,Parlophone,"12"", S/Sided, Promo",,1991,378039,Uncategorized,2017-02-12 14:42:18,,,
12RDJ6259,Loco Mia,"Rumba, Samba, Mambo",Parlophone,"12"", Single",,1990,6940343,Uncategorized,2017-02-15 20:32:08,,,
12RX6250,Cabaret Voltaire,Keep On,Parlophone,"12"", Single",,1990,51276,Uncategorized,2019-09-15 22:10:22,,,
45-R 4671,Michael Hill (7),Joey's Song / Juke's Jingle,Parlophone,"7""",,1960,5294974,Uncategorized,2019-12-31 15:12:04,,,
"0190295693534, DBX 4",David Bowie,Loving The Alien [ 1983 – 1988 ],"Parlophone, Parlophone","Box, Comp + CD, Album, RE, RM, Let + 2xCD, Album, ",,2018,12650039,Uncategorized,2019-01-28 14:58:32,,,
"0190295843014, DBX 3",David Bowie,A New Career In A New Town [1977–1982],"Parlophone, Parlophone","Box, Comp, Ltd + CD, Album, RE, RM + CD, Album, RE",,2017,10929410,Uncategorized,2019-02-16 17:23:09,,,
"0190295989842, DBX 2",David Bowie,Who Can I Be Now? [1974-1976],"Parlophone, Parlophone","Box, Comp, Ltd + CD, Album, RE, RM + 2xCD, Album, ",,2016,9092378,Uncategorized,2019-02-16 17:24:31,,,
"7243 8 29626 2 5, 07243 8296262 5",Radiohead,The Bends,"Parlophone, Parlophone","CD, Album, RE",,2014,6643824,Uncategorized,2017-02-07 15:38:26,,,
"7243 8 55229 2 5, CDNODATA 02",Radiohead,OK Computer,"Parlophone, Parlophone","CD, Album",,1997,3108842,Uncategorized,2017-02-07 10:07:02,,,
"CPLIVE 1, 490811 9, 7243 490803 9 3",Coldplay,Live 2003,"Parlophone, Parlophone, Parlophone","DVD-V, Multichannel, PAL, Dua + CD, Album, Enh",,2003,1248851,Uncategorized,2017-02-27 22:31:20,,,
"QUECD9, 20 3058 3, QUE CD 9",Queen & David Bowie,Under Pressure,"Parlophone, Parlophone, Parlophone","CD, Mini, Maxi",,1988,1756790,Uncategorized,2017-05-30 12:34:17,,,
PEN 721,Shocking Blue,Never Marry A Railroad Man / Roll Engine Roll,Penny Farthing,"7"", Single",,1970,4333488,Uncategorized,2020-01-03 19:02:16,,,
PEN 791,Daniel Boone,Annabelle,Penny Farthing,"7"", Single",,1972,2345022,Uncategorized,2019-12-30 22:17:05,,,
RUT 1,The Ruts,In A Rut,People Unite,"7"", Single, RE, RP",,1979,771768,Uncategorized,2020-01-03 00:08:18,,,
12 UNI 4,"Fabio, Grooverider",Rage,"Perception Records, Dance D'Vision Discs","12""",,1990,232286,Uncategorized,2019-09-16 22:05:28,,,
74321 10182 1 DJ,Jimi Polo,Express Yourself,Perfecto,"12"", Promo",,1992,94399,Uncategorized,2017-01-31 08:09:06,,,
HUM 1,Gary Clail & On-U Sound System,Human Nature,Perfecto,"12"", Promo",,1991,259868,Uncategorized,2019-09-16 21:21:32,,,
PT 43960,Lynda Law,I Don't Want Your Love (Remixes),Perfecto,"12""",,1990,1387246,Uncategorized,2019-09-17 21:07:23,,,
PT 44196,Lost,The Gonzo / Baz De Conga,Perfecto,"12""",,1990,45916,Uncategorized,2019-09-17 21:20:18,,,
PT 44560,Lost,Techno Funk,Perfecto,"12""",,1991,76373,Uncategorized,2019-09-17 21:21:39,,,
PT 44566,Gary Clail & On-U Sound System,Escape (Remix Of The Remix By Adrian Sherwood),Perfecto,"12"", Single",,1991,545407,Uncategorized,2019-09-16 21:23:00,,,
PT 45162DJ,Robert Owens,I'll Be Your Friend,Perfecto,"12"", Promo",,1991,1044270,Uncategorized,2019-09-23 16:51:30,,,
PERSS 786,Sounds Of Blackness,Optimistic,Perspective Records,"7""",,1991,983201,Uncategorized,2020-01-03 21:12:19,,,
6006 125,The New Seekers,Never Ending Song Of Love,Philips,"7"", Single, Sol",,1971,9376871,Uncategorized,2020-01-01 11:22:08,,,
JM038-0018,David Bowie,Jazzin' For Blue Jean,Picture Music,"Laserdisc, 8"", S/Sided, NTSC",,1984,3718946,Uncategorized,2019-02-08 10:42:39,,,
MVT 99 00042,David Bowie,David Bowie,Picture Music International,"VHS, EP, PAL",,1983,7642718,Uncategorized,2017-02-27 22:36:24,,,
PLMPB 00891,David Bowie,The Video Collection,Picture Music International,"Laserdisc, 12"", Comp, PAL",,1993,4893312,Uncategorized,2019-02-08 10:41:43,,,
"MVD 4911863, 7243 4911863 8",David Bowie,The Video Collection,"Picture Music International, Picture Music International","VHS, Comp, PAL",,1993,1999313,Uncategorized,2017-02-27 22:40:50,,,
PPAC1T,Logic,The Warning,Planet Pacific,"12""",,1990,80251,Uncategorized,2019-09-17 21:16:49,,,
1785255,Snow Patrol,A Hundred Million Suns,Polydor,"CD, Album + DVD-V, NTSC, DVD",,2008,1544382,Uncategorized,2017-02-07 08:06:43,,,
2001 490,Lulu,The Man Who Sold The World,Polydor,"7"", Single, Lar",,1974,11449504,David Bowie,2019-01-15 08:24:35,,,
2001-211,Focus (2),Hocus Pocus,Polydor,"7"", Red",,1971,5747486,Uncategorized,2019-12-31 14:32:29,,,
2058 280,London String Chorale,Galloping Home,Polydor,"7"", Single",,1972,1905526,Uncategorized,2019-12-31 20:10:36,,,
2058-255,Bee Gees,Run To Me,Polydor,"7"", Lar",,0,7857275,Uncategorized,2019-12-30 21:34:04,,,
2059 052,Siouxsie & The Banshees,Hong Kong Garden,Polydor,"7"", Single, Sil",,1978,378741,Uncategorized,2020-01-03 19:27:30,,,
2302 073,Roxy Music,Greatest Hits,Polydor,"LP, Comp",,1977,387764,Uncategorized,2019-01-21 21:30:00,,,
FREAX 2DJ,Freaky Realistic,Koochie Ryder,Polydor,"12"", Promo",,1993,1952997,Uncategorized,2019-09-22 22:14:24,,,
POSP 293,Visage,Visage,Polydor,"7"", Single, Chi",,1981,5948766,Uncategorized,2020-01-03 23:45:37,,,
POSP 510,Siouxsie & The Banshees,Slowdive,Polydor,"7"", Single, Blu",,1982,437925,Uncategorized,2020-01-03 19:39:55,,,
POSP 523,Visage,Pleasure Boys,Polydor,"7"", Single",,1982,33390,Uncategorized,2020-01-03 23:50:40,,,
POSP 547,Orange Juice (3),Rip It Up,Polydor,"7"", Single, Pap",,1983,2629656,Uncategorized,2020-01-01 16:08:18,,,
POSP 776,Level 42,Leaving Me Now,Polydor,"7"", Single, Inj",,1985,937201,Uncategorized,2019-12-31 19:39:41,,,
PZX 76,Sunsonic,Kind Of Loving (Remix),Polydor,"12""",,1990,176934,Uncategorized,2017-02-28 19:48:36,,,
2066 744,Strawbs,Charmer,"Polydor, Oyster","7"", Single",,1976,5747323,Uncategorized,2020-01-03 22:09:31,,,
"POLD 5009, 2442 157",Siouxsie & The Banshees,The Scream,"Polydor, Polydor","LP, Album",,1978,404853,Uncategorized,2019-01-21 21:57:14,,,
"POLD 5156, 2383 621",Siouxsie & The Banshees,Once Upon A Time / The Singles,"Polydor, Polydor","LP, Comp",,1981,628343,Uncategorized,2019-01-21 21:58:38,,,
"POLH 25, 827 487-1",Level 42,World Machine,"Polydor, Polydor","LP, Album",,1985,310220,Uncategorized,2019-01-18 19:02:45,,,
"POLS 1006, 2383 524",Various,20 Of Another Kind,"Polydor, Polydor","LP, Comp",,1979,1734376,Uncategorized,2019-01-21 23:06:17,,,
"POSP 205, 2059 302",Siouxsie & The Banshees,Israel,"Polydor, Polydor","7"", Single",,1980,384637,Uncategorized,2020-01-03 19:34:21,,,
"POSP 34, 2059 095",The Jam,Strange Town,"Polydor, Polydor","7"", Single, Fre",,1979,2069155,Uncategorized,2019-12-31 18:12:08,,,
"POSP 390, 2095 445",Visage,The Damned Don't Cry,"Polydor, Polydor","7"", Single",,1982,137281,Uncategorized,2020-01-03 23:48:05,,,
"POSP 441, 2095 459",Visage,Night Train,"Polydor, Polydor","7"", Single",,1982,103333,Uncategorized,2020-01-03 23:51:57,,,
"POSP 450, PoSP 450",Siouxsie & The Banshees,Fireworks,"Polydor, Polydor","7"", Single",,1982,380592,Uncategorized,2020-01-03 19:36:35,,,
"POSP 643, 815 514-7",Level 42,Microkid,"Polydor, Polydor","7"", Single",,1983,937180,Uncategorized,2019-12-31 19:32:23,,,
"POSP 69, 2059 158",The Jam,When You're Young c/w Smithers-Jones,"Polydor, Polydor","7"", Single",,1979,393290,Uncategorized,2019-12-31 18:14:00,,,
"POSP 7, 2059 065",Sham 69,Hurry Up Harry / No Entry,"Polydor, Polydor","7"", Single, Mad",,1978,13969710,Uncategorized,2020-01-03 00:36:11,,,
"POSP 710, 881434-7",Level 42,The Chant Has Begun,"Polydor, Polydor","7"", Single",,1984,937189,Uncategorized,2019-12-31 19:41:44,,,
"POSP 759, 883 362-7",Level 42,Something About You,"Polydor, Polydor","7"", Single, Sil",,1985,937192,Uncategorized,2019-12-31 20:03:57,,,
"POSP 8, 2059 068",The Jam,Down In The Tube Station At Midnight,"Polydor, Polydor","7"", Single, MP",,1978,3876045,Uncategorized,2019-12-31 18:16:59,,,
"POSP 9, 2059 089",Siouxsie & The Banshees,The Staircase (Mystery),"Polydor, Polydor","7"", Single",,1979,2312484,Uncategorized,2020-01-03 19:31:20,,,
"POSP 9, 2059 089",Siouxsie & The Banshees,The Staircase (Mystery),"Polydor, Polydor","7"", Single",,1979,12893336,Uncategorized,2020-01-03 19:32:31,,,
"POSPD 354, POSPG 354",The Creatures,Wild Things,"Polydor, Polydor","2x7"", Single",,1981,6321852,Uncategorized,2019-12-30 22:59:58,,,
"POSPJ 113, POSP 113",The Jam,Going Underground,"Polydor, Polydor","2x7"", Single",,1980,1578459,Uncategorized,2019-12-31 18:15:36,,,
"POSPX 64, 2141 145",Sham 69,Hersham Boys,"Polydor, Polydor","12"", Single",,1979,579007,Uncategorized,2017-01-31 18:08:59,,,
"PZ 282 DJ 1, PZ 282 DJ 2",Visage,Fade To Grey '93 Remixes (Mixes By Bassheads + Hypnotic State),"Polydor, Polydor","2x12"", Promo",,1993,522564,Uncategorized,2017-02-28 19:06:37,,,
"pz 92, 877 595-1",Sunsonic,Roll My Body,"Polydor, Polydor","12""",,1990,176929,Uncategorized,2017-02-28 19:49:34,,,
"pz r 92, 877 687-1",Sunsonic,Roll My Body (The Remixes),"Polydor, Polydor","12""",,1990,177554,Uncategorized,2017-02-28 19:45:59,,,
"PZR 103, 879 097-1",Sunsonic,Driveaway (The Primate Remix),"Polydor, Polydor","12""",,1991,176925,Uncategorized,2017-02-28 19:37:34,,,
"ROXY 1, 2002 009",Roxy Music,The Same Old Scene,"Polydor, Polydor","7"", Single, Lar",,1980,10810474,Uncategorized,2020-01-02 23:44:08,,,
"POLD 5028, 2442 168, POLD. 5028",The Jam,Setting Sons,"Polydor, Polydor, Polydor","LP, Album, Emb",,1979,403169,Uncategorized,2019-01-18 18:19:30,,,
040 313 1,David Bowie,Love You Till Tuesday,Polygram Video,"Laserdisc, 12"", S/Sided, PAL",,1984,5243736,Uncategorized,2019-02-08 10:40:44,,,
631 150-1,U2,ZooTV Live From Sydney,Polygram Video,"Laserdisc, 12"", PAL, CLV",,1994,3603947,Uncategorized,2019-01-22 07:35:55,,,
440 085 557-1,U2,"Achtung Baby - The Videos, The Cameos And A Whole Lot Of Interference From ZooTV","Polygram Video, Island Visual Arts","Laserdisc, 12"", Comp, NTSC",,1992,2239382,Uncategorized,2019-01-22 07:34:36,,,
MILK 101,The Farm,Stepping Stone /  Family Of Man,Produce Records (2),"12"", Single",,1990,84961,Uncategorized,2019-09-16 22:08:06,,,
MILK 101,The Farm,Stepping Stone /  Family Of Man,Produce Records (2),"12"", Promo, W/Lbl",,0,2177987,Uncategorized,2019-09-16 22:09:20,,,
PROFT 295,Neutron 9000,Cybersculpture,Profile Records,"12""",,1990,111597,Uncategorized,2019-09-23 16:18:51,,,
PROFT 333 DJ,Steely & Clevie Featuring Suzanne Couch,Why,Profile Records,"12"", Promo",,1991,433319,Uncategorized,2017-02-01 23:21:18,,,
DOW 1,David Bowie,Don't Be Fooled By The Name,PRT,"10"", Comp",,1981,932835,David Bowie,2017-02-20 22:58:26,,,
12 LOSE  17,Clubland,Hold On (Tighter To Love),Pulse-8 Records,"12"", W/Lbl, Sti",,1991,1172053,Uncategorized,2019-09-16 21:26:25,,,
12 LOSE 3,Rozalla,Born To Luv Ya,Pulse-8 Records,"12""",,1990,347366,Uncategorized,2017-02-10 18:51:31,,,
12 LOSE 4,The Honey Turtles,Don't You Know,Pulse-8 Records,"12""",,1991,1189278,Uncategorized,2019-09-22 21:47:41,,,
12 LOSE 6,Band Of Gypsies,Travels In Hyper Reality,Pulse-8 Records,"12""",,1991,142368,Uncategorized,2019-09-15 21:49:33,,,
"12 LOSE 9, 12LOSE 9",Sue Chaloner,Answer My Prayer,"Pulse-8 Records, Pulse-8 Records","12""",,1991,301519,Uncategorized,2019-09-16 21:11:51,,,
7N 25746,Space,Magic Fly,Pye International,"7"", Single, Sol",,1977,3867090,Uncategorized,2020-01-03 21:15:29,,,
7N 46018,Carl Douglas,Run Back,Pye Records,"7"", Single, Sol",,1977,1727101,Uncategorized,2019-12-31 13:25:47,,,
7N.17272,Sandie Shaw,Puppet On A String,Pye Records,"7"", Single, Kno",,1967,562936,Uncategorized,2020-01-03 00:40:20,,,
