Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"GRADLP 2, VR 55120",UB40,Signing Off,"Graduate Records, Graduate Records","LP, Album + 12"", Maxi",,1980,8719201,Uncategorized,2019-01-21 22:37:32,,,
310846,UB40,I Think It's Going To Rain Today / My Way Of Thinking,"Graduate Records, Vogue","12"", Single",,1980,2627909,Uncategorized,2017-02-28 19:50:42,,,
HAG012P,Duke Special,Adventures In Gramophone,Hag!,"CD, Comp, Promo, Car",,2005,2224742,Uncategorized,2017-02-07 09:55:31,,,
HAG014P,Duke Special,Freewheel,Hag!,"CD, Single, Promo",,2005,4916175,Uncategorized,2017-02-07 09:50:49,,,
HANSA 10,Japan,European Son,Hansa,"7"", Single",,1982,56297,Uncategorized,2019-12-31 18:26:34,,,
HANSA 12,Japan,I Second That Emotion,Hansa,"7"", Single, Fac",,1982,613678,Uncategorized,2019-12-31 18:18:30,,,
HANSA 17,Japan,Life In Tokyo,Hansa,"7"", Single, RE",,1982,521297,Uncategorized,2019-12-31 18:20:44,,,
"204.067, 204 067-320",Japan,Assemblage,"Hansa, Hansa International, Hansa, Hansa International","LP, Comp",,1981,4456653,Uncategorized,2019-01-18 18:30:02,,,
HVN412R,Saint Etienne,Kiss And Make Up (Remix),Heavenly,"12""",,1990,8478,Uncategorized,2017-01-31 18:22:00,,,
HMACD176,Hillsong / Delirious?,(Up) Unified Praise,Hillsong Music Australia,"CD, Album",,2004,5085505,Uncategorized,2017-02-07 13:17:58,,,
"CDP 7 94298 2, CD-FA 3280",Morrissey,Bona Drag,"His Master's Voice, Fame","CD, Comp",,1990,410917,Uncategorized,2017-02-07 10:25:44,,,
"HIT 6.032, hit 6.032",Sysex-Handsome,Immediate Danger,"Hithouse Records, Hithouse Records","12""",,1992,170704,Uncategorized,2019-09-23 18:32:24,,,
hope074,Glenn Morrison,Cosmic Flight,Hope Recordings,"12""",,2008,1370316,Uncategorized,2019-09-23 16:25:30,,,
HOSS 16,Dandy Livingstone,"Suzanne, Beware Of The Devil",Horse,"7"", Single, 4 p",,1972,3253272,Uncategorized,2019-12-31 20:09:30,,,
14062,Robin Mark,Hope In The City: Revival In Belfast,Hosanna! Music,"CD, Album",,1999,4054375,Uncategorized,2017-02-06 23:34:20,,,
19272,Robin Mark,Come Heal This Land,Hosanna! Music,"CD, Album",,2001,7412352,Uncategorized,2017-02-07 13:20:24,,,
SEE 6,Laurel Aitken And The Unitone,Rudi Got Married,I-Spy Records,"7"", Single, Sil",,1980,1102127,Uncategorized,2019-12-30 10:31:41,,,
SEE 7,Laurel Aitken,Big Fat Man,I-Spy Records,"7"", Single",,1980,1102028,Uncategorized,2019-12-30 10:29:26,,,
ADRENT 1,NY (2),Adrenalin,I.R.S. Records,"12""",,1990,621453,Uncategorized,2017-02-08 23:47:31,,,
ADRENT 1,NY (2),Adrenalin,I.R.S. Records,"12""",,1990,621453,Uncategorized,2017-02-08 23:48:33,,,
GUY 32,Eddy Grant,Grandma,ICE,"7"", Single",,1979,10475660,Uncategorized,2019-12-31 14:59:42,,,
